iter	Passed	Remaining
753	956	312
754	957	310
755	959	309
756	959	308
757	960	306
758	961	305
759	962	303
760	963	302
761	964	301
762	965	299
763	966	298
764	967	297
765	968	295
766	969	294
767	970	293
768	971	291
769	973	290
770	974	289
771	975	288
772	976	286
773	976	285
774	977	283
775	978	282
776	979	281
777	980	279
778	981	278
779	982	277
780	983	275
781	984	274
782	984	272
783	985	271
784	986	270
785	988	269
786	989	267
787	990	266
788	991	265
789	992	263
790	993	262
791	994	261
792	995	259
793	996	258
794	997	257
795	998	255
796	998	254
797	999	253
798	1000	251
799	1001	250
800	1003	249
801	1004	248
802	1005	246
803	1006	245
804	1007	244
805	1008	242
806	1009	241
807	1010	240
808	1011	238
809	1012	237
810	1013	236
811	1013	234
812	1014	233
813	1015	232
814	1016	230
815	1017	229
816	1019	228
817	1020	227
818	1021	225
819	1021	224
820	1022	222
821	1023	221
822	1024	220
823	1025	219
824	1026	217
825	1027	216
826	1027	215
827	1028	213
828	1029	212
829	1030	211
830	1030	209
831	1031	208
832	1032	207
833	1034	205
834	1035	204
835	1036	203
836	1037	202
837	1038	200
838	1039	199
839	1040	198
840	1041	196
841	1042	195
842	1043	194
843	1044	193
844	1045	191
845	1046	190
846	1046	189
847	1048	187
848	1050	186
849	1051	185
850	1052	184
851	1053	182
852	1054	181
853	1055	180
854	1056	179
855	1056	177
856	1057	176
857	1058	175
858	1059	173
859	1060	172
860	1061	171
861	1062	170
862	1063	168
863	1065	167
864	1066	166
865	1067	165
866	1068	163
867	1069	162
868	1070	161
869	1071	160
870	1071	158
871	1072	157
872	1073	156
873	1074	154
874	1075	153
875	1076	152
876	1077	151
877	1077	149
878	1079	148
879	1080	147
880	1081	146
881	1082	144
882	1083	143
883	1084	142
884	1085	141
885	1085	139
886	1086	138
887	1087	137
888	1088	135
889	1089	134
890	1090	133
891	1091	132
892	1092	130
893	1094	129
894	1095	128
895	1096	127
896	1097	126
897	1098	124
898	1099	123
899	1099	122
900	1100	120
901	1101	119
902	1102	118
903	1103	117
904	1104	115
905	1105	114
906	1106	113
907	1107	112
908	1108	110
909	1109	109
910	1111	108
911	1111	107
912	1112	106
913	1113	104
914	1114	103
915	1115	102
916	1116	101
917	1116	99
918	1117	98
919	1118	97
920	1119	96
921	1120	94
922	1120	93
923	1121	92
924	1122	91
925	1123	89
926	1124	88
927	1126	87
928	1127	86
929	1128	84
930	1128	83
931	1129	82
932	1130	81
933	1131	79
934	1132	78
935	1133	77
936	1134	76
937	1134	75
938	1135	73
939	1136	72
940	1137	71
941	1138	70
942	1139	68
943	1140	67
944	1142	66
945	1143	65
946	1143	64
947	1144	62
948	1145	61
949	1146	60
950	1147	59
951	1149	57
952	1150	56
953	1150	55
954	1151	54
955	1152	53
956	1153	51
957	1154	50
958	1155	49
959	1156	48
960	1157	46
961	1158	45
962	1159	44
963	1160	43
964	1161	42
965	1161	40
966	1162	39
967	1163	38
968	1164	37
969	1165	36
970	1166	34
971	1166	33
972	1167	32
973	1168	31
974	1169	29
975	1170	28
976	1172	27
977	1173	26
978	1174	25
979	1175	23
980	1176	22
981	1177	21
982	1178	20
983	1178	19
984	1179	17
985	1180	16
986	1181	15
987	1182	14
988	1183	13
989	1184	11
990	1185	10
991	1187	9
992	1188	8
993	1189	7
994	1190	5
995	1191	4
996	1192	3
997	1193	2
998	1194	1
999	1195	0
